Date,Title,Artist,Weeks_On_Chart,Last_Week_Rank
2013-12-28,The Monster,Eminem Featuring Rihanna,7,
2013-12-21,The Monster,Eminem Featuring Rihanna,6,2
2013-12-14,Wrecking Ball,Miley Cyrus,15,3
2013-12-07,Royals,Lorde,21,
2013-11-30,Royals,Lorde,20,
2013-11-23,Royals,Lorde,19,
2013-11-16,Royals,Lorde,18,
2013-11-09,Royals,Lorde,17,
2013-11-02,Royals,Lorde,16,
2013-10-26,Royals,Lorde,15,
2013-10-19,Royals,Lorde,14,
2013-10-12,Royals,Lorde,13,3
2013-10-05,Wrecking Ball,Miley Cyrus,5,
2013-09-28,Wrecking Ball,Miley Cyrus,4,22
2013-09-21,Roar,Katy Perry,5,
2013-09-14,Roar,Katy Perry,4,2
2013-09-07,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,19,
2013-08-31,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,18,
2013-08-24,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,17,
2013-08-17,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,16,
2013-08-10,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,15,
2013-08-03,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,14,
2013-07-27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,13,
2013-07-20,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,12,
2013-07-13,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,11,
2013-07-06,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,10,
2013-06-29,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,9,
2013-06-22,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,8,6
2013-06-15,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,17,
2013-06-08,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,16,
2013-06-01,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,15,
2013-05-25,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,14,
2013-05-18,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,13,2
2013-05-11,Just Give Me A Reason,P!nk Featuring Nate Ruess,11,
2013-05-04,Just Give Me A Reason,P!nk Featuring Nate Ruess,10,
2013-04-27,Just Give Me A Reason,P!nk Featuring Nate Ruess,9,3
2013-04-20,When I Was Your Man,Bruno Mars,16,2
2013-04-13,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,26,
2013-04-06,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,25,2
2013-03-30,Harlem Shake,Baauer,5,
2013-03-23,Harlem Shake,Baauer,4,
2013-03-16,Harlem Shake,Baauer,3,
2013-03-09,Harlem Shake,Baauer,2,
2013-03-02,Harlem Shake,Baauer,1,
2013-02-23,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,19,
2013-02-16,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,18,
2013-02-09,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,17,
2013-02-02,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,16,2
2013-01-26,Locked Out Of Heaven,Bruno Mars,15,
2013-01-19,Locked Out Of Heaven,Bruno Mars,14,
2013-01-12,Locked Out Of Heaven,Bruno Mars,13,
2013-01-05,Locked Out Of Heaven,Bruno Mars,12,
2012-12-29,Locked Out Of Heaven,Bruno Mars,11,
2012-12-22,Locked Out Of Heaven,Bruno Mars,10,2
2012-12-15,Diamonds,Rihanna,10,
2012-12-08,Diamonds,Rihanna,9,
2012-12-01,Diamonds,Rihanna,8,2
2012-11-24,One More Night,Maroon 5,21,
2012-11-17,One More Night,Maroon 5,20,
2012-11-10,One More Night,Maroon 5,19,
2012-11-03,One More Night,Maroon 5,18,
2012-10-27,One More Night,Maroon 5,17,
2012-10-20,One More Night,Maroon 5,16,
2012-10-13,One More Night,Maroon 5,15,
2012-10-06,One More Night,Maroon 5,14,
2012-09-29,One More Night,Maroon 5,13,2
2012-09-22,We Are Never Ever Getting Back Together,Taylor Swift,5,2
2012-09-15,Whistle,Flo Rida,16,2
2012-09-08,We Are Never Ever Getting Back Together,Taylor Swift,3,
2012-09-01,We Are Never Ever Getting Back Together,Taylor Swift,2,72
2012-08-25,Whistle,Flo Rida,13,3
